id,admin1_ref,code,name,from_cods,reference_period_start,reference_period_end,admin1_code,admin1_name,location_code,location_name,location_ref
#adm2+hapi_id,#adm1+hapi_id,#adm2+code,#adm2+name,,#date+start,#date+end,#adm1+code,#adm1+code,#country+code,#country+code,#country+hapi_id
213,17,AF1724,Shaki,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
214,17,AF1725,Zebak,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
215,17,AF1726,Koran Wa Monjan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
216,17,AF1727,Darwaz-e-Balla,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
217,17,AF1728,Wakhan,True,2021-11-17T00:00:00,,AF17,Badakhshan,AFG,Afghanistan,1
218,18,AF1801,Taloqan,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
219,18,AF1802,Hazar Sumuch,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
220,18,AF1803,Baharak,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
221,18,AF1804,Bangi,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
222,18,AF1805,Chal,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
223,18,AF1806,Namak Ab,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
224,18,AF1807,Kalafgan,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
225,18,AF1808,Farkhar,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
226,18,AF1809,Khwaja Ghar,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
227,18,AF1810,Rostaq,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
228,18,AF1811,Eshkmesh,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
229,18,AF1812,Dasht-e-Qala,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
230,18,AF1813,Warsaj,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
231,18,AF1814,Khwaja Bahawuddin,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
232,18,AF1815,Darqad,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
233,18,AF1816,Chahab,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
234,18,AF1817,Yangi Qala,True,2021-11-17T00:00:00,,AF18,Takhar,AFG,Afghanistan,1
235,19,AF1901,Kunduz,True,2021-11-17T00:00:00,,AF19,Kunduz,AFG,Afghanistan,1
236,19,AF1902,Chahar Darah,True,2021-11-17T00:00:00,,AF19,Kunduz,AFG,Afghanistan,1
237,19,AF1903,Ali Abad,True,2021-11-17T00:00:00,,AF19,Kunduz,AFG,Afghanistan,1
238,19,AF1904,Khan Abad,True,2021-11-17T00:00:00,,AF19,Kunduz,AFG,Afghanistan,1
239,19,AF1905,Imam Sahib,True,2021-11-17T00:00:00,,AF19,Kunduz,AFG,Afghanistan,1
240,19,AF1906,Dasht-e-Archi,True,2021-11-17T00:00:00,,AF19,Kunduz,AFG,Afghanistan,1
241,19,AF1907,Qala-e-Zal,True,2021-11-17T00:00:00,,AF19,Kunduz,AFG,Afghanistan,1
242,20,AF2001,Aybak,True,2021-11-17T00:00:00,,AF20,Samangan,AFG,Afghanistan,1
243,20,AF2002,Hazrat-e-Sultan,True,2021-11-17T00:00:00,,AF20,Samangan,AFG,Afghanistan,1
